                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61019,                 2.4743,                0.89286,                0.01312,                      1,                0.64357,                0.54675,                0.53103,                 2.6873,                0.82945,             0.00046699,             0.00046699,             0.00046699
                      2,                0.55417,                 1.2184,                0.84246,                0.90395,                0.42063,                0.77484,                0.65513,                0.59838,                 2.0691,                0.86768,             0.00084994,             0.00084994,             0.00084994
                      3,                0.53843,                0.86997,                0.83457,                0.95216,                0.95888,                0.98587,                0.87006,                 0.5113,                0.77676,                0.82466,              0.0011386,              0.0011386,              0.0011386
                      4,                0.51428,                0.76851,                0.82931,                0.96346,                0.95421,                0.98251,                0.87104,                0.49325,                0.64825,                0.82592,              0.0010046,              0.0010046,              0.0010046
                      5,                0.49194,                0.67813,                0.82806,                0.97534,                0.96528,                0.99279,                0.89616,                0.44122,                 0.5442,                0.81479,             0.00086312,             0.00086312,             0.00086312
                      6,                0.47878,                0.61533,                0.81569,                0.98459,                0.99849,                  0.993,                0.90014,                0.43954,                0.46794,                0.81357,             0.00072164,             0.00072164,             0.00072164
                      7,                0.46095,                  0.567,                0.81628,                0.99459,                      1,                0.99308,                0.91004,                0.40484,                0.41469,                0.80805,             0.00058017,             0.00058017,             0.00058017
                      8,                0.42975,                 0.5199,                0.80779,                0.99612,                      1,                0.99329,                0.91761,                0.38273,                0.38545,                0.80457,              0.0004387,              0.0004387,              0.0004387
                      9,                0.40761,                0.48413,                0.80247,                0.99637,                      1,                 0.9928,                0.91833,                0.38221,                0.36265,                0.80202,             0.00029723,             0.00029723,             0.00029723
                     10,                0.40374,                0.46131,                0.79967,                0.99641,                      1,                0.99403,                0.92782,                0.36386,                0.34968,                0.80031,             0.00015576,             0.00015576,             0.00015576
