                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44295,                0.35473,                0.86109,                0.99604,                      1,                0.99449,                0.94025,                0.35581,                  0.241,                0.79992,             0.00046699,             0.00046699,             0.00046699
                      2,                0.44614,                0.34807,                0.85902,                0.99427,                0.99851,                0.99233,                0.92868,                0.37151,                 0.2614,                0.80438,             0.00089663,             0.00089663,             0.00089663
                      3,                0.47279,                0.36261,                0.86705,                0.99619,                0.99962,                0.99359,                0.92319,                0.38284,                0.28336,                0.80948,              0.0012791,              0.0012791,              0.0012791
                      4,                0.48695,                0.37673,                0.87519,                  0.996,                0.99951,                0.99443,                 0.9257,                0.38614,                0.28051,                0.80607,              0.0012168,              0.0012168,              0.0012168
                      5,                0.47951,                0.38175,                0.87067,                0.99539,                      1,                0.99392,                0.92991,                0.37492,                0.27078,                0.80787,              0.0011461,              0.0011461,              0.0011461
                      6,                0.45955,                0.35475,                0.87039,                0.98953,                0.99545,                0.99361,                0.92371,                0.39358,                0.27734,                0.80961,              0.0010753,              0.0010753,              0.0010753
                      7,                0.47225,                0.35602,                  0.869,                0.99551,                      1,                0.99436,                0.92037,                0.38165,                0.27375,                0.80903,              0.0010046,              0.0010046,              0.0010046
                      8,                0.46622,                0.35153,                0.86893,                 0.9963,                      1,                0.99438,                0.93207,                0.36837,                0.25289,                 0.8055,             0.00093385,             0.00093385,             0.00093385
                      9,                0.44674,                0.33971,                0.86496,                0.99651,                      1,                0.99454,                0.92737,                0.38195,                0.25195,                0.80567,             0.00086312,             0.00086312,             0.00086312
                     10,                0.45181,                0.33024,                0.85652,                0.99657,                      1,                0.99235,                0.92863,                0.37389,                0.24258,                 0.8039,             0.00079238,             0.00079238,             0.00079238
                     11,                0.39318,                 0.2674,                0.80718,                0.99608,                      1,                0.99397,                0.92404,                0.38353,                0.25722,                0.80981,             0.00072164,             0.00072164,             0.00072164
                     12,                0.39257,                0.26942,                0.80997,                0.99641,                      1,                0.99458,                0.93413,                0.36841,                0.25626,                0.80436,             0.00065091,             0.00065091,             0.00065091
                     13,                0.38591,                0.26509,                0.81112,                0.99639,                      1,                0.99216,                0.93879,                0.35459,                0.23795,                0.80231,             0.00058017,             0.00058017,             0.00058017
                     14,                0.38022,                0.25859,                0.80825,                 0.9965,                      1,                0.99361,                0.93539,                0.35764,                 0.2358,                0.80198,             0.00050944,             0.00050944,             0.00050944
                     15,                0.37042,                0.24325,                0.81153,                0.99654,                      1,                 0.9947,                0.94506,                0.34521,                0.22292,                0.80002,              0.0004387,              0.0004387,              0.0004387
                     16,                0.36762,                0.23812,                0.80766,                0.99645,                      1,                0.99433,                0.94527,                0.34595,                0.22006,                0.79737,             0.00036797,             0.00036797,             0.00036797
                     17,                0.36494,                0.23258,                0.80423,                0.99648,                      1,                0.99463,                0.94872,                0.33342,                0.21115,                0.79564,             0.00029723,             0.00029723,             0.00029723
                     18,                 0.3594,                0.22541,                0.80451,                0.99659,                      1,                0.99295,                0.94755,                0.33255,                0.20579,                 0.7972,              0.0002265,              0.0002265,              0.0002265
                     19,                0.35797,                0.22095,                0.80138,                0.99657,                      1,                0.99323,                0.94958,                0.32798,                0.20362,                0.79643,             0.00015576,             0.00015576,             0.00015576
                     20,                0.35355,                0.21604,                 0.8054,                0.99651,                      1,                0.99459,                0.95272,                0.32411,                0.19472,                0.79452,             8.5026e-05,             8.5026e-05,             8.5026e-05
